identifier,identifier 1,identifier 2,object_in_context,subject_name 1,subject_name 2,subject_name 3,subject_name 4,subject_name 5,subject_topical 1,subject_topical 2,subject_geographic,item_type,language,language_of_cataloging,form,digital_origin,date_text,date_single_start,date_end,date_qualifier,public_note,title,rights,collection,collection_identifier,repository,name,affiliation,place_of_origin,project_url,project_title,project_abstract,record_source,file_thumbnail_url
mpabaker_863,mpabaker:863,0012_003587_000221,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A863,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572",,,,,,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,1977,1977,,,,Howard Baker on Inauguration Day,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A863/datastream/TN/view/Howard%20Baker%20on%20Inauguration%20Day.jpg
mpabaker_770,mpabaker:770,0012_000159_000301,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A770,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572",,,,,,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,1980,1980,,,,Howard Baker Presented with Award at National Black Republican Council,No known copyright restrictions.,Howard H. Baker Jr. Papers, MPA.101,"University of Tennessee, Knoxville. Special Collections",United States | URI: http://id.loc.gov/authorities/names/n78095330 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A770/datastream/TN/view/Howard%20Baker%20Presented%20with%20Award%20at%20National%20Black%20Republican%20Council.jpg
mpabaker_892,mpabaker:892,0012_000159_000375,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A892,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572","Nixon, Richard M. (Richard Milhous), 1913-1994 | http://id.loc.gov/authorities/names/n79018757",,,,Presidents--United States | http://id.loc.gov/authorities/subjects/sh85106465,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,1969,1969,,,,Howard Baker and Richard Nixon,Public domain.,Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",White House Administrative Office (U.S.) | URI: http://id.loc.gov/authorities/names/n93097922 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A892/datastream/TN/view/Howard%20Baker%20and%20Richard%20Nixon.jpg
mpabaker_888,mpabaker:888,0012_000159_000373,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A888,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572","Bush, George, 1924- | http://id.loc.gov/authorities/names/n80015879","Baker, Cynthia, 1956-",,,Families | http://id.loc.gov/authorities/subjects/sh85047009,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,unknown,1966,1994,inferred,Dates inferred from bulk dates of archival collection.,"Howard Baker, George Bush, Cynthia Baker, and Child at the White House",Public domain.,Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",White House Administrative Office (U.S.) | URI: http://id.loc.gov/authorities/names/n93097922 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A888/datastream/TN/view/Howard%20Baker%2C%20George%20Bush%2C%20Cynthia%20Baker%2C%20and%20Child%20at%20the%20White%20House.jpg
mpabaker_778,mpabaker:778,0012_000159_000386,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A778,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572","Baker, Nancy Kassebaum, 1932- | http://id.loc.gov/authorities/names/n82208664",United States. Congress. Senate. Committee on Foreign Relations | http://id.loc.gov/authorities/names/n78008230,,,,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,1982,1982,,,,Senate Committee on Foreign Relations including Howard Baker and Nancy Kassebaum,Public domain.,Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",United States. Congress. Senate | URI: http://id.loc.gov/authorities/names/n79022161 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A778/datastream/TN/view/Senate%20Committee%20on%20Foreign%20Relations%20including%20Howard%20Baker%20and%20Nancy%20Kassebaum.jpg
mpabaker_755,mpabaker:755,0012_000159_000312,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A755,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572","Kissinger, Henry, 1923- | http://id.loc.gov/authorities/names/n79018911",,,,,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,1978,1978,,,,"Howard Baker, Henry Kissinger and Man at Nashville Fundraiser","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Howard H. Baker Jr. Papers, MPA.101,"University of Tennessee, Knoxville. Special Collections",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A755/datastream/TN/view/Howard%20Baker%2C%20Henry%20Kissinger%20and%20Man%20at%20Nashville%20Fundraiser.jpg
mpabaker_816,mpabaker:816,0012_003587_000340,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A816,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572","Jumayyil, Amīn | http://id.loc.gov/authorities/names/n83181910",,,,International relations | http://id.loc.gov/authorities/subjects/sh85067435,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,1983,1983,,,,Howard Baker with President Amine Gemayel of Lebanon,Public domain.,Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",United States. Congress. Senate | URI: http://id.loc.gov/authorities/names/n79022161 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A816/datastream/TN/view/Howard%20Baker%20with%20President%20Amine%20Gemayel%20of%20Lebanon.jpg
mpabaker_949,mpabaker:949,0012_003587_000239,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A949,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572","Baker, Joy Dirksen","Dirksen, Louella, 1899-1979 | http://id.loc.gov/authorities/names/n94051121",,,Families | http://id.loc.gov/authorities/subjects/sh85047009,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,unknown,1966,1994,inferred,Dates inferred from bulk dates of archival collection.,Group including Howard Baker. Joy Baker and Louella Dirksen,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A949/datastream/TN/view/Group%20including%20Howard%20Baker.%20Joy%20Baker%20and%20Louella%20Dirksen.jpg
mpabaker_910,mpabaker:910,0012_003587_000219,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A910,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572","Baker, Joy Dirksen","Mondale, Walter F., 1928- | http://id.loc.gov/authorities/names/n79077424",,,Oaths | http://id.loc.gov/authorities/subjects/sh85093593,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,unknown,1966,1994,inferred,Dates inferred from bulk dates of archival collection.,"Howard Baker, Walter Mondale and Joy Baker at Swearing-in Ceremony","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A910/datastream/TN/view/Howard%20Baker%2C%20Walter%20Mondale%20and%20Joy%20Baker%20at%20Swearing-in%20Ceremony.jpg
mpabaker_937,mpabaker:937,0012_003587_000258,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A937,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572","Baker, Joy Dirksen","Baker, Darek","Baker, Cynthia, 1956-",,,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,1966,1966,,,,"Howard Baker, Joy Baker, Darek Baker, and Cynthia Baker at a Picnic","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A937/datastream/TN/view/Howard%20Baker%2C%20Joy%20Baker%2C%20Darek%20Baker%2C%20and%20Cynthia%20Baker%20at%20a%20Picnic.jpg
mpabaker_759,mpabaker:759,0012_003587_000254,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A759,"Alexander, Lamar, 1940- | http://id.loc.gov/authorities/names/n81044263","Reagan, Nancy, 1921- | ttp://id.loc.gov/authorities/names/n79121421","Reagan, Ronald | http://id.loc.gov/authorities/names/n79059562",,,Presidents--United States | http://id.loc.gov/authorities/subjects/sh85106465,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,unknown,1966,1994,inferred,Dates inferred from bulk dates of archival collection.,"Lamar Alexander, Nancy Reagan and Ronald Reagan as Sporting Event","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A759/datastream/TN/view/Lamar%20Alexander%2C%20Nancy%20Reagan%20and%20Ronald%20Reagan%20as%20Sporting%20Event.jpg
mpabaker_765,mpabaker:765,0012_003587_000281,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A765,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572","Shamir, Itzhak, 1915-2012 | http://id.loc.gov/authorities/names/n88622399",,,,International relations | http://id.loc.gov/authorities/subjects/sh85067435,Heads of state | http://id.loc.gov/authorities/subjects/sh85059496,"Israel | URI: http://id.loc.gov/authorities/names/n79003285 | Coordinates: 31.5, 34.75",still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,1981,1981,,,,Howard Baker with Yatzik Shamir during Israel Tour,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A765/datastream/TN/view/Howard%20Baker%20with%20Yatzik%20Shamir%20during%20Israel%20Tour.jpg
mpabaker_890,mpabaker:890,0012_003587_000284,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A890,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572",,,,,International relations | http://id.loc.gov/authorities/subjects/sh85067435,,"Taiwan | URI: http://id.loc.gov/authorities/names/n80022631 | Coordinates: 24, 121",still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,unknown,1966,1994,inferred,Dates inferred from bulk dates of archival collection.,Howard Baker with Group while on Tour in Taiwan,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A890/datastream/TN/view/Howard%20Baker%20with%20Group%20while%20on%20Tour%20in%20Taiwan.jpg
mpabaker_786,mpabaker:786,0012_003587_000263,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A786,"Baker, Joy Dirksen",,,,,,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,1980,1980,,,,Group including Joy Baker at Luncheon,No known copyright restrictions.,Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",United States | URI: http://id.loc.gov/authorities/names/n78095330 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A786/datastream/TN/view/Group%20including%20Joy%20Baker%20at%20Luncheon.jpg
mpabaker_749,mpabaker:749,0012_003587_000241,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A749,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572","Baker, Joy Dirksen",,,,Families | http://id.loc.gov/authorities/subjects/sh85047009,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,unknown,1966,1994,inferred,Dates inferred from bulk dates of archival collection.,Group  including Howard Baker and Joy Baker during Presidential Campaign,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A749/datastream/TN/view/Group%20%20including%20Howard%20Baker%20and%20Joy%20Baker%20during%20Presidential%20Campaign.jpg
mpabaker_750,mpabaker:750,0012_000159_000319,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A750,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572",,,,,Automobiles | http://id.loc.gov/authorities/subjects/sh85010201,,"Indianapolis Speedway Race | URI: http://id.loc.gov/authorities/names/n99008653 | Coordinates: 39.7949, -86.2348",still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,1983,1983,,,,Howard Baker at the Indy 500,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Howard H. Baker Jr. Papers, MPA.101,"University of Tennessee, Knoxville. Special Collections",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A750/datastream/TN/view/Howard%20Baker%20at%20the%20Indy%20500.jpg
mpabaker_843,mpabaker:843,0012_003587_000343,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A843,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572","Mubarak, Muhammad Husni, 1928- | http://id.loc.gov/authorities/names/n83198443",,,,Heads of state | http://id.loc.gov/authorities/subjects/sh85059496,International relations | http://id.loc.gov/authorities/subjects/sh85067435,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,unknown,1966,1994,inferred,Dates inferred from bulk dates of archival collection.,Group including Howard Baker and Husni Mubarak,Public domain.,Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",United States. Congress. Senate | URI: http://id.loc.gov/authorities/names/n79022161 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A843/datastream/TN/view/Group%20including%20Howard%20Baker%20and%20Husni%20Mubarak.jpg
mpabaker_928,mpabaker:928,0012_003587_000207,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A928,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572","Dirksen, Everett McKinley | http://id.loc.gov/authorities/names/n50025549",,,,,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,unknown,1966,1994,inferred,Dates inferred from bulk dates of archival collection.,Howard Baker with Everett Dirksen and Others at Hearing,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A928/datastream/TN/view/Howard%20Baker%20with%20Everett%20Dirksen%20and%20Others%20at%20Hearing.jpg
mpabaker_909,mpabaker:909,0012_000159_000290,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A909,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572","Byrd, Robert C. | http://id.loc.gov/authorities/names/n79016398",,,,,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,1979,1979,,,,"Howard Baker, Robert Byrd and Mrs. O'Neil","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Howard H. Baker Jr. Papers, MPA.101,"University of Tennessee, Knoxville. Special Collections",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A909/datastream/TN/view/Howard%20Baker%2C%20Robert%20Byrd%20and%20Mrs.%20O%27Neil.jpg
mpabaker_950,mpabaker:950,0012_000159_000316,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A950,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572","Bush, George, 1924- | http://id.loc.gov/authorities/names/n80015879","Stevens, Ted | http://id.loc.gov/authorities/names/n82107663",,,Presidents--United States | http://id.loc.gov/authorities/subjects/sh85106465,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,1982,1982,,,,"Howard Baker, George HW Bush and Ronald Reagan with Other Senators",Public domain.,Howard H. Baker Jr. Papers, MPA.101,"University of Tennessee, Knoxville. Special Collections",White House Administrative Office (U.S.) | URI: http://id.loc.gov/authorities/names/n93097922 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A950/datastream/TN/view/Howard%20Baker%2C%20George%20HW%20Bush%20and%20Ronald%20Reagan%20with%20Other%20Senators.jpg
mpabaker_774,mpabaker:774,0012_000159_000365,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A774,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572","Reagan, Ronald | http://id.loc.gov/authorities/names/n79059562",,,,Presidents--United States | http://id.loc.gov/authorities/subjects/sh85106465,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,unknown,1966,1994,inferred,Dates inferred from bulk dates of archival collection.,Howard Baker and Ronald Reagan,Public domain.,Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",White House Administrative Office (U.S.) | URI: http://id.loc.gov/authorities/names/n93097922 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A774/datastream/TN/view/Howard%20Baker%20and%20Ronald%20Reagan.jpg
